Title,PositiveReview,NegativeReview,Score,GuestName,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse
Wonderful,,,9.0,Maria,Czech Republic,Family Suite with Balcony,1 night,August 2021,Group,
Wonderful,,,9.0,Attila,Romania,Double Room with Balcony,1 night,August 2021,Couple,
Exceptional,,,10.0,Hough,Switzerland,Double Room with Balcony,1 night,August 2021,Group,
Exceptional,,,10.0,Richard,United Kingdom,Double Room with Balcony,1 night,August 2021,Solo traveler,
Wonderful,,,9.0,Katarina,Serbia,Double Room with Balcony,1 night,July 2021,Group,
Exceptional,,,10.0,Nasser,United Arab Emirates,Double Room with Balcony,1 night,July 2021,Family,
Exceptional,,,10.0,Elena,Cyprus,Standard Triple Room,1 night,July 2021,Group,
Exceptional,,,10.0,Sanad,Jordan,Double Room with Balcony,1 night,July 2021,Solo traveler,
We stayed at this hotel for 1 night before travelling on to Protaras. The owners were lovely couldn’t be more helpful ev,,,8.0,Elaine,United Kingdom,Family Suite with Balcony,1 night,July 2021,Family,thank you very much for your nice comment; we are always available to serve our guests.
Wonderful,,,9.0,Oskars,Latvia,Double Room with Balcony,1 night,June 2021,Solo traveler,
Very Good,,,8.0,Georgios,Greece,Double Room with Balcony,1 night,June 2021,Couple,
Wonderful,,,9.0,Ioanna,Greece,Family Suite with Balcony,1 night,July 2021,Family,
Wonderful,,,9.0,Alison,United Kingdom,Double Room with Balcony,1 night,July 2021,Solo traveler,
Very Good,,,8.0,Krisjanis,Latvia,Double Room with Balcony,1 night,July 2021,Solo traveler,
Exceptional,,,10.0,Giannos,Cyprus,Double Room with Balcony,3 nights,July 2021,Solo traveler,
Very Good,,,8.0,Vera,United Kingdom,Double Room with Balcony,1 night,July 2021,Solo traveler,
"Amazing staff, Amazing hotel",,,10.0,Godfrey,Ireland,Double Room with Balcony,1 night,July 2021,Family,"thank you guys, we are happy you enjoyed your stay at our hotel! Hope to see u again"
Exceptional,,,10.0,Richard,United Kingdom,Double Room with Balcony,1 night,June 2021,Couple,
Exceptional,,,10.0,Sanela,Greece,Standard Triple Room,3 nights,June 2021,Family,
Wonderful,,,9.0,Maksym,Poland,Double Room with Balcony,1 night,June 2021,Solo traveler,
Very Good,,,8.0,William,United Kingdom,Double Room with Balcony,1 night,June 2021,Couple,
Very Good,,,8.0,Ruslan,Russia,Double Room with Balcony,1 night,June 2021,Solo traveler,
Exceptional,,,10.0,Ron,Israel,Double Room with Balcony,1 night,June 2021,Solo traveler,
Good,,,7.0,Rafailia,Cyprus,Double Room with Balcony,1 night,October 2022,Couple,
Good,,,7.0,Ioannis,Cyprus,Double Room with Balcony,1 night,November 2022,Solo traveler,
Good,,,7.0,Olsen,Norway,Two-Bedroom Suite,1 night,November 2022,Solo traveler,
Good,,,7.0,Ronald,Lebanon,Budget Twin Room,1 night,December 2022,Couple,
Good,,,7.0,Julian,United Kingdom,Two-Bedroom Suite,1 night,September 2022,Group,
Bad,,,1.0,Monika,United Kingdom,Double Room,1 night,December 2022,Couple,
Good,,,7.0,Trezesa,Czech Republic,Budget Twin Room,1 night,October 2022,Couple,
Very Poor,,,2.0,Idris,United Kingdom,Double Room,1 night,November 2022,Solo traveler,
Good,,,7.0,Epshtein,Israel,Double Room,1 night,September 2022,Family,
Good,,,7.0,Edmond,United States of America,Double Room with Balcony,2 nights,November 2022,Couple,
Pleasant,,,6.0,Mariannhornyak,Hungary,Two-Bedroom Suite,1 night,November 2022,Family,
Good,,,7.0,Eleni,Cyprus,Budget Twin Room,1 night,October 2022,Group,
Fair,,,5.0,Doron,United Kingdom,Double Room with Balcony,3 nights,November 2022,Couple,
Fair,,,5.0,Maiken,Denmark,Two-Bedroom Suite,1 night,October 2022,Family,
Good,,,7.0,Kevin,United Kingdom,Double Room with Balcony,1 night,October 2022,Solo traveler,
Good,,,7.0,Paulo,Portugal,Double Room with Balcony,3 nights,October 2022,Solo traveler,
Disappointing,,,4.0,Els,Israel,Suite with Balcony,1 night,October 2022,Group,
Good,,,7.0,Jane,United Kingdom,Double Room with Balcony,1 night,October 2022,Couple,
Good,,,7.0,Pamela,Czech Republic,Budget Twin Room,1 night,October 2022,Solo traveler,
Pleasant,,,6.0,Dawn,Cyprus,Double Room with Balcony,1 night,September 2022,Family,
Good,,,7.0,Mark,United Kingdom,Two-Bedroom Suite,1 night,October 2022,Family,
Good,,,7.0,Robert,Australia,Double Room with Balcony,1 night,September 2022,Solo traveler,
Very Poor,,,2.0,Dr,Saudi Arabia,Double Room with Balcony,1 night,July 2022,Solo traveler,
Good,,,7.0,Ioanna,Cyprus,Double Room with Balcony,1 night,August 2022,Couple,
Good,,,7.0,Jayne,United Kingdom,Two-Bedroom Suite,1 night,July 2022,Group,
Good,,,7.0,Anton,Estonia,Family Suite with Balcony,1 night,July 2022,Group,
Very close to the airport. Clean facilities and very friendly staff. I had no issues!,,,7.0,Hyungbin,Nigeria,Double Room,1 night,July 2022,Solo traveler,
Good,,,7.0,Alexandru-paul,Romania,Double Room with Balcony,1 night,May 2022,Couple,
Disappointing,,,4.0,Bayan,Israel,Double Room with Balcony,1 night,May 2022,Solo traveler,
Good,,,7.0,Andreas192625,Cyprus,Family Suite with Balcony,1 night,May 2022,Couple,
Good,,,7.0,Brian,Cyprus,Double Room,1 night,April 2022,Couple,
Pleasant,,,6.0,Kamil,United Kingdom,Double Room with Balcony,1 night,February 2022,Solo traveler,
Good,,,7.0,Simona,Malta,Family Suite with Balcony,1 night,January 2022,Family,
Good,,,7.0,James,United Kingdom,Double Room with Balcony,1 night,November 2021,Family,
Pleasant,,,6.0,Nina,United Kingdom,Double Room with Balcony,1 night,September 2021,Solo traveler,
Pleasant,,,6.0,Elena1m,Cyprus,Two-Bedroom Suite,1 night,August 2021,Solo traveler,
Good,,,7.0,Ashley,United Kingdom,Double Room with Balcony,1 night,August 2021,Family,
Good,,,7.0,Denis,Russia,Two-Bedroom Suite,1 night,August 2021,Family,
Fair,,,5.0,Pavlo,Ukraine,Double Room with Balcony,1 night,July 2021,Solo traveler,
Exceptional,,,10.0,Anonymous,Cyprus,,2 nights,November 2022,Couple,
Exceptional,,,10.0,Anonymous,United Kingdom,,1 night,August 2022,Couple,
Wonderful,,,9.0,Anonymous,United Kingdom,,1 night,October 2022,Couple,
"Modern Finishes, Clean, Central Location and Friendly Service.",,,10.0,Anonymous,South Africa,,1 night,August 2022,Family,
Very Good,,,8.0,Anonymous,Jordan,,4 nights,July 2022,Family,
Exceptional,,,10.0,Anonymous,Denmark,,1 night,July 2022,Family,
Exceptional,,,10.0,Anonymous,Cyprus,,2 nights,January 2022,Family,
Very Good,,,8.0,Anonymous,Cyprus,,3 nights,October 2021,Couple,
Very Good,,,8.0,Anonymous,United Kingdom,,1 night,October 2021,Couple,
Wonderful,,,9.0,Anonymous,Cyprus,,1 night,September 2021,Couple,
Exceptional,,,10.0,Anonymous,Cyprus,,1 night,September 2021,Couple,
Exceptional,,,10.0,Anonymous,Romania,,1 night,September 2021,Couple,
Exceptional,,,10.0,Anonymous,United Kingdom,,1 night,August 2021,Solo traveler,
Very Good,,,8.0,Anonymous,Serbia,,7 nights,August 2021,Couple,
Wonderful,,,9.0,Anonymous,Ukraine,,4 nights,July 2021,Couple,
Pleasant,,,6.0,Anonymous,United Kingdom,,7 nights,July 2022,Couple,
Disappointing,,,4.0,Anonymous,United States of America,,1 night,November 2021,Group,
Very Good,,,8.0,Audrey,France,Two-Bedroom Suite,1 night,November 2022,Family,
Wonderful,,,9.0,Juliana,Cyprus,Double Room,1 night,December 2022,Couple,
Very Good,,,8.0,Beate,Germany,Double Room with Balcony,3 nights,December 2022,Couple,
Exceptional,,,10.0,Ioanns,Greece,Double Room with Balcony,4 nights,November 2022,Family,
Exceptional,,,10.0,Jurate,Lithuania,Budget Twin Room,1 night,December 2022,Solo traveler,
Exceptional,,,10.0,Valentin,Romania,Standard Triple Room,1 night,December 2022,Family,
Wonderful,,,9.0,Mladen,Serbia,Double Room with Balcony,3 nights,December 2022,Family,
Exceptional,,,10.0,Georgios,Greece,Double Room,1 night,December 2022,Solo traveler,
Exceptional,,,10.0,Laura,Lithuania,Double Room,1 night,November 2022,Solo traveler,
Very Good,,,8.0,Lavrentios,Greece,Double Room,1 night,November 2022,Couple,
Exceptional,,,10.0,Asya,Bulgaria,Double Room with Balcony,3 nights,December 2022,Solo traveler,
"Fantastic time spent, highly recommend",,,9.0,Magdalena,Poland,Double Room,4 nights,December 2022,Solo traveler,
Exceptional,,,10.0,Milos,Serbia,Double Room with Balcony,1 night,December 2022,Couple,
Wonderful,,,9.0,Vaiva,Lithuania,Double Room,4 nights,December 2022,Couple,
Exceptional,,,10.0,Sékou,France,Double Room with Balcony,7 nights,November 2022,Couple,
Wonderful,,,9.0,Nicos,Cyprus,Double Room with Balcony,3 nights,December 2022,Family,
Exceptional,,,10.0,Thanpan,Greece,Double Room with Balcony,7 nights,November 2022,Family,
Very Good,,,8.0,Antonia,Cyprus,Double Room with Balcony,1 night,November 2022,Couple,
Very Good,,,8.0,Ralf,Germany,Double Room with Balcony,1 night,November 2022,Family,
Wonderful,,,9.0,Valeriia,Ukraine,Double Room,1 night,November 2022,Couple,
Exceptional,,,10.0,Eliazr,Israel,Double Room,1 night,November 2022,Family,
Exceptional,,,10.0,Tatiana,Austria,Standard Triple Room,1 night,October 2022,Family,
Very Good,,,8.0,Lichtiger,France,Double Room,1 night,November 2022,Solo traveler,
Exceptional,,,10.0,Gabriel,France,Double Room,1 night,November 2022,Solo traveler,
Exceptional,,,10.0,Veronika,Czech Republic,Double Room,1 night,November 2022,Couple,
Exceptional,,,10.0,Ievgen,Ukraine,Standard Triple Room,1 night,October 2022,Family,
Exceptional,,,10.0,Dmytro,Ukraine,Double Room with Balcony,4 nights,November 2022,Solo traveler,
Very Good,,,8.0,Σπυρίδων,Greece,Double Room with Balcony,2 nights,November 2022,Solo traveler,
very pleasant 9 days!,,,9.0,Richard,Germany,Double Room with Balcony,4 nights,November 2022,Solo traveler,
Very Good,,,8.0,Daphne,Germany,Double Room with Balcony,1 night,November 2022,Solo traveler,
Wonderful,,,9.0,Mirabella,Netherlands,Double Room with Balcony,1 night,October 2022,Solo traveler,
Very Good,,,8.0,Christoph,Belgium,Double Room,1 night,November 2022,Family,
Wonderful,,,9.0,Peter,Slovakia,Double Room with Balcony,7 nights,November 2022,Couple,
Exceptional,,,10.0,Aleksandr,Israel,Double Room with Balcony,1 night,November 2022,Couple,
Exceptional,,,10.0,Βασιλης,Greece,Double Room,1 night,October 2022,Couple,
Exceptional,,,10.0,Tara,Belgium,Budget Twin Room,1 night,September 2022,Group,
Exceptional,,,10.0,Khrystyna,Ukraine,Double Room,1 night,November 2022,Family,
Very Good,,,8.0,Bence,Hungary,Double Room with Balcony,2 nights,September 2022,Group,
Exceptional,,,10.0,Carlos,Brazil,Double Room with Balcony,1 night,November 2022,Couple,
Very Good,,,8.0,Nicoleta,Romania,Double Room with Balcony,8 nights,October 2022,Group,
Exceptional,,,10.0,Σκεύη,Cyprus,Double Room with Balcony,1 night,October 2022,Couple,
Exceptional,,,10.0,Kateryna,Ukraine,Double Room with Balcony,1 night,November 2022,Couple,
Exceptional,,,10.0,Stas,Israel,Standard Triple Room,1 night,November 2022,Family,
Exceptional,,,10.0,Ganna,Ukraine,Double Room,1 night,November 2022,Solo traveler,
Exceptional,,,10.0,Yubo,China,Double Room with Balcony,1 night,October 2022,Family,
Very Good,,,8.0,Nicolas,France,Double Room,1 night,October 2022,Family,
Exceptional,,,10.0,Omar,Spain,Double Room,1 night,October 2022,Family,
Exceptional,,,10.0,Nicolai,Germany,Budget Twin Room,2 nights,October 2022,Family,
Exceptional,,,10.0,Yaniv,Israel,Suite with Balcony,1 night,October 2022,Group,
Very Good,,,8.0,David,France,Two-Bedroom Suite,1 night,October 2022,Family,
Wonderful,,,9.0,בנימין,Israel,Double Room with Balcony,1 night,October 2022,Couple,
Exceptional,,,10.0,Netanel,Israel,Double Room,1 night,October 2022,Family,
Wonderful,,,9.0,Elissa,Germany,Double Room with Balcony,2 nights,October 2022,Couple,
Wonderful,,,9.0,Ludivine,France,Double Room with Balcony,1 night,September 2022,Solo traveler,
Wonderful,,,9.0,Robert,Switzerland,Two-Bedroom Suite,1 night,October 2022,Family,
Exceptional,,,10.0,אולגה,Israel,Two-Bedroom Suite,1 night,October 2022,Group,
Very Good,,,8.0,Anton,Israel,Double Room,1 night,October 2022,Couple,
Exceptional,,,10.0,Joyce,Belgium,Double Room with Balcony,1 night,October 2022,Group,
Wonderful,,,9.0,Ioannis,Greece,Double Room,1 night,October 2022,Solo traveler,
Exceptional,,,10.0,Mika,Israel,Standard Triple Room,1 night,October 2022,Couple,
Wonderful,,,9.0,Yishai,Israel,Two-Bedroom Suite,1 night,October 2022,Family,
Exceptional,,,10.0,Pedro,Spain,Double Room with Balcony,1 night,October 2022,Couple,
Very Good,,,8.0,Gulyás,Hungary,Standard Triple Room,4 nights,October 2022,Couple,
Very Good,,,8.0,Shay,Israel,Suite with Balcony,1 night,October 2022,Family,
Exceptional,,,10.0,Miteva,Bulgaria,Double Room with Balcony,2 nights,September 2022,Family,
Exceptional,,,10.0,Igor,Croatia,Double Room,1 night,October 2022,Solo traveler,
Exceptional,,,10.0,Gunhild,Norway,Two-Bedroom Suite,1 night,October 2022,Family,
Wonderful,,,9.0,Beata,Poland,Double Room,1 night,October 2022,Family,
Very Good,,,8.0,Dina,Israel,Two-Bedroom Suite,1 night,October 2022,Family,
Exceptional,,,10.0,Vladimir,Czech Republic,Budget Twin Room,1 night,October 2022,Family,
Wonderful,,,9.0,Adam,Poland,Budget Twin Room,1 night,October 2022,Solo traveler,
Wonderful,,,9.0,Kal,Israel,Two-Bedroom Suite,1 night,October 2022,Family,
Exceptional,,,10.0,Eliahu,Israel,Standard Triple Room,1 night,October 2022,Family,
Exceptional,,,10.0,Yevhen,Ukraine,Two-Bedroom Suite,1 night,October 2022,Family,
Very Good,,,8.0,Roberta,Italy,Double Room with Balcony,2 nights,October 2022,Family,
Exceptional,,,10.0,Jc2214,France,Double Room,1 night,October 2022,Couple,
Exceptional,,,10.0,Shlomi,Israel,Double Room with Balcony,1 night,October 2022,Group,
Wonderful,,,9.0,Clément,France,Suite with Balcony,2 nights,October 2022,Group,
Exceptional,,,10.0,Kjell,Sweden,Double Room with Balcony,1 night,September 2022,Solo traveler,
Exceptional,,,10.0,Noam,Israel,Double Room,1 night,October 2022,Couple,
Wonderful,,,9.0,Nitza,Israel,Standard Triple Room,3 nights,October 2022,Group,
Wonderful,,,9.0,Boje,Denmark,Double Room with Balcony,1 night,October 2022,Couple,
Wonderful,,,9.0,Magdalena,Austria,Double Room with Balcony,1 night,October 2022,Family,
Wonderful,,,9.0,Lukáš,Czech Republic,Double Room,1 night,October 2022,Family,
Wonderful,,,9.0,עוזי,Israel,Budget Twin Room,1 night,October 2022,Solo traveler,
Exceptional,,,10.0,Nel,Italy,Double Room with Balcony,2 nights,October 2022,Family,
Exceptional,,,10.0,Catalin-mihai,United States of America,Double Room with Balcony,1 night,September 2022,Couple,
Exceptional,,,10.0,Ioanna,Cyprus,Double Room,1 night,October 2022,Family,
Wonderful,,,9.0,Tom,Germany,Double Room with Balcony,7 nights,October 2022,Couple,
Exceptional,,,10.0,Zuzana,Czech Republic,Double Room with Balcony,2 nights,September 2022,Group,
Very Good,,,8.0,Jacob,Israel,Budget Twin Room,1 night,September 2022,Family,
Wonderful,,,9.0,Tamara,Austria,Double Room with Balcony,1 night,September 2022,Family,
Very Good,,,8.0,Pedro,Portugal,Two-Bedroom Suite,1 night,September 2022,Family,
Wonderful,,,9.0,Konstantinos,Greece,Two-Bedroom Suite,1 night,September 2022,Group,
Exceptional,,,10.0,Antonis,Greece,Double Room with Balcony,1 night,September 2022,Couple,
Exceptional,,,10.0,Αναστασια,Greece,Double Room,1 night,September 2022,Couple,
Very Good,,,8.0,Verena,Germany,Double Room with Balcony,1 night,September 2022,Group,
Exceptional,,,10.0,בורשטיין,Israel,Two-Bedroom Suite,1 night,September 2022,Group,
Exceptional,,,10.0,מילמן,Israel,Two-Bedroom Suite,1 night,August 2022,Family,
Exceptional,,,10.0,Alina,Bulgaria,Two-Bedroom Suite,2 nights,September 2022,Group,
Exceptional,,,10.0,Netanel,Israel,Two-Bedroom Suite,1 night,September 2022,Family,
Exceptional,,,10.0,Jenny,France,Budget Twin Room,1 night,September 2022,Family,
Exceptional,,,10.0,Amir15000,France,Double Room with Balcony,1 night,September 2022,Family,
Wonderful,,,9.0,Attilio,Italy,Double Room with Balcony,1 night,September 2022,Solo traveler,
Very Good,,,8.0,Claudia,Austria,Budget Twin Room,1 night,September 2022,Couple,
Exceptional,,,10.0,Soledad,France,Suite with Balcony,1 night,August 2022,Family,
Wonderful,,,9.0,Alessandro,Italy,Double Room,1 night,September 2022,Couple,
Wonderful,,,9.0,Samuel,Switzerland,Double Room with Balcony,1 night,September 2022,Couple,
Exceptional,,,10.0,Inbar,Israel,Double Room with Balcony,7 nights,September 2022,Family,
Exceptional,,,10.0,Ioannis,Greece,Double Room with Balcony,1 night,September 2022,Family,
Very Good,,,8.0,Simon,Austria,Standard Triple Room,1 night,September 2022,Couple,
Very Good,,,8.0,George,Cyprus,Double Room with Balcony,1 night,August 2022,Couple,
Wonderful,,,9.0,Tom,Netherlands,Double Room with Balcony,1 night,September 2022,Solo traveler,
Exceptional,,,10.0,Jad,Germany,Double Room with Balcony,1 night,August 2022,Family,
Wonderful,,,9.0,Elenaa99,Cyprus,Double Room with Balcony,1 night,August 2022,Family,
Very Good,,,8.0,Marjolein,Netherlands,Double Room with Balcony,1 night,August 2022,Couple,
Wonderful,,,9.0,Daria,Russia,Double Room with Balcony,1 night,August 2022,Couple,
Exceptional,,,10.0,Sara,Italy,Double Room with Balcony,1 night,August 2022,Group,
Wonderful,,,9.0,Sebastian,Poland,Two-Bedroom Suite,3 nights,August 2022,Family,
Wonderful,,,9.0,Hila,Israel,Two-Bedroom Suite,1 night,August 2022,Family,
Wonderful,,,9.0,Fredrik,Sweden,Double Room with Balcony,1 night,August 2022,Solo traveler,
Exceptional,,,10.0,Rimantė,Lithuania,Double Room,1 night,August 2022,Family,
Exceptional,,,10.0,Sullyvan,China,Double Room,1 night,July 2022,Solo traveler,
Exceptional,,,10.0,Pelik,Poland,Two-Bedroom Suite,1 night,August 2022,Group,
Exceptional,,,10.0,Луиза,Russia,Double Room with Balcony,1 night,August 2022,Family,
Exceptional,,,10.0,Moti,Israel,Two-Bedroom Suite,1 night,August 2022,Family,
Exceptional,,,10.0,Kamila,Poland,Two-Bedroom Suite,1 night,August 2022,Family,
Exceptional,,,10.0,Bar,Israel,Double Room with Balcony,1 night,August 2022,Family,
Very Good,,,8.0,Nir,Israel,Two-Bedroom Suite,1 night,August 2022,Family,
Very Good,,,8.0,Oz,Israel,Two-Bedroom Suite,1 night,August 2022,Family,
Exceptional,,,10.0,Gabriel-alexandru,Romania,Double Room with Balcony,1 night,August 2022,Family,
